9/15/1993,Not Available,Not Available,"4,388,002,889,928.69"
9/16/1993,Not Available,Not Available,"4,388,881,973,462.74"
9/17/1993,Not Available,Not Available,"4,389,958,226,339.71"
9/20/1993,Not Available,Not Available,"4,390,873,657,386.08"
9/21/1993,Not Available,Not Available,"4,392,902,007,724.38"
9/22/1993,Not Available,Not Available,"4,395,747,736,884.79"
9/23/1993,Not Available,Not Available,"4,380,953,238,289.83"
9/24/1993,Not Available,Not Available,"4,381,848,418,221.23"
9/27/1993,Not Available,Not Available,"4,384,313,074,547.91"
9/28/1993,Not Available,Not Available,"4,386,348,704,685.85"
9/29/1993,Not Available,Not Available,"4,387,836,063,260.07"
9/30/1993,Not Available,Not Available,"4,411,488,883,139.38"
10/1/1993,Not Available,Not Available,"4,406,339,573,433.47"
10/4/1993,Not Available,Not Available,"4,407,769,734,324.50"
10/5/1993,Not Available,Not Available,"4,407,913,021,123.68"
10/6/1993,Not Available,Not Available,"4,404,063,184,112.24"
10/7/1993,Not Available,Not Available,"4,399,632,555,295.61"
10/8/1993,Not Available,Not Available,"4,400,577,921,150.46"
10/12/1993,Not Available,Not Available,"4,401,394,660,183.90"
10/13/1993,Not Available,Not Available,"4,403,484,617,386.01"
10/14/1993,Not Available,Not Available,"4,407,559,575,803.59"
10/15/1993,Not Available,Not Available,"4,401,817,309,864.52"
10/18/1993,Not Available,Not Available,"4,401,988,615,772.60"
10/19/1993,Not Available,Not Available,"4,403,899,372,803.47"
10/20/1993,Not Available,Not Available,"4,405,120,107,183.66"
10/21/1993,Not Available,Not Available,"4,410,416,970,918.07"
10/22/1993,Not Available,Not Available,"4,410,675,644,206.33"
10/25/1993,Not Available,Not Available,"4,411,590,498,137.31"
10/26/1993,Not Available,Not Available,"4,413,051,004,954.02"
10/27/1993,Not Available,Not Available,"4,415,934,724,518.77"
10/28/1993,Not Available,Not Available,"4,420,682,377,339.12"
10/29/1993,Not Available,Not Available,"4,422,511,446,437.79"
11/1/1993,Not Available,Not Available,"4,432,423,020,228.89"
11/2/1993,Not Available,Not Available,"4,432,981,908,566.84"
11/3/1993,Not Available,Not Available,"4,424,959,774,661.34"
11/4/1993,Not Available,Not Available,"4,429,229,286,675.85"
11/5/1993,Not Available,Not Available,"4,429,513,344,083.03"
11/8/1993,Not Available,Not Available,"4,427,227,098,976.32"
11/9/1993,Not Available,Not Available,"4,423,280,357,586.04"
11/10/1993,Not Available,Not Available,"4,436,706,568,254.08"
11/12/1993,Not Available,Not Available,"4,441,829,747,363.07"
11/15/1993,Not Available,Not Available,"4,459,587,095,853.55"
11/16/1993,Not Available,Not Available,"4,461,657,354,035.12"
11/17/1993,Not Available,Not Available,"4,462,811,124,306.37"
11/18/1993,Not Available,Not Available,"4,468,602,585,525.90"
11/19/1993,Not Available,Not Available,"4,469,104,230,006.99"
11/22/1993,Not Available,Not Available,"4,446,980,042,700.48"
11/23/1993,Not Available,Not Available,"4,469,257,508,771.35"
11/24/1993,Not Available,Not Available,"4,471,916,289,052.68"
11/26/1993,Not Available,Not Available,"4,475,896,342,183.87"
11/29/1993,Not Available,Not Available,"4,476,471,414,720.95"
11/30/1993,Not Available,Not Available,"4,493,535,023,468.35"
12/1/1993,Not Available,Not Available,"4,487,484,404,600.98"
12/2/1993,Not Available,Not Available,"4,492,557,369,352.72"
12/3/1993,Not Available,Not Available,"4,481,375,688,607.10"
12/6/1993,Not Available,Not Available,"4,484,408,014,063.05"
12/7/1993,Not Available,Not Available,"4,485,193,684,299.35"
12/8/1993,Not Available,Not Available,"4,483,205,207,438.03"
12/9/1993,Not Available,Not Available,"4,482,214,842,220.22"
12/10/1993,Not Available,Not Available,"4,482,979,344,725.28"
12/13/1993,Not Available,Not Available,"4,483,553,424,318.94"
12/14/1993,Not Available,Not Available,"4,484,920,299,350.18"
12/15/1993,Not Available,Not Available,"4,483,566,978,158.40"
12/16/1993,Not Available,Not Available,"4,475,488,749,387.26"
12/17/1993,Not Available,Not Available,"4,474,428,988,250.30"
12/20/1993,Not Available,Not Available,"4,475,119,374,002.10"
12/21/1993,Not Available,Not Available,"4,476,108,119,844.42"
12/22/1993,Not Available,Not Available,"4,477,483,761,876.61"
12/23/1993,Not Available,Not Available,"4,482,639,255,164.41"
12/24/1993,Not Available,Not Available,"4,482,898,206,840.89"
12/27/1993,Not Available,Not Available,"4,484,993,187,841.98"
12/28/1993,Not Available,Not Available,"4,484,718,968,501.49"
12/29/1993,Not Available,Not Available,"4,487,921,628,155.12"
12/30/1993,Not Available,Not Available,"4,495,714,265,970.33"
12/31/1993,Not Available,Not Available,"4,535,687,054,406.14"
1/3/1994,Not Available,Not Available,"4,512,315,337,989.71"
1/4/1994,Not Available,Not Available,"4,514,021,907,284.23"
1/5/1994,Not Available,Not Available,"4,516,387,819,244.73"
1/6/1994,Not Available,Not Available,"4,517,953,822,941.37"
